wavelength,absorbance,subtracted_absorbance
3.000000000000000000e+02,1.213000000000000078e+00,5.561666666666665870e-01
3.050000000000000000e+02,9.969999999999999973e-01,4.831666666666667442e-01
3.100000000000000000e+02,8.719999999999999973e-01,4.196666666666666878e-01
3.150000000000000000e+02,7.790000000000000258e-01,3.653333333333333988e-01
3.200000000000000000e+02,6.929999999999999494e-01,3.176666666666666528e-01
3.250000000000000000e+02,6.189999999999999947e-01,2.755000000000000782e-01
3.300000000000000000e+02,5.550000000000000488e-01,2.386666666666666936e-01
3.350000000000000000e+02,4.929999999999999938e-01,2.048333333333333672e-01
3.400000000000000000e+02,4.410000000000000031e-01,1.758333333333332860e-01
3.450000000000000000e+02,3.990000000000000213e-01,1.500000000000000500e-01
3.500000000000000000e+02,3.679999999999999938e-01,1.298333333333333561e-01
3.550000000000000000e+02,3.420000000000000262e-01,1.140000000000000457e-01
3.600000000000000000e+02,3.130000000000000004e-01,9.966666666666665342e-02
3.650000000000000000e+02,2.750000000000000222e-01,8.566666666666669649e-02
3.700000000000000000e+02,2.069999999999999896e-01,6.983333333333330284e-02
3.750000000000000000e+02,1.429999999999999882e-01,5.500000000000000722e-02
3.800000000000000000e+02,1.140000000000000041e-01,4.516666666666666052e-02
3.850000000000000000e+02,9.800000000000000377e-02,3.816666666666667512e-02
3.900000000000000000e+02,8.799999999999999489e-02,3.249999999999999417e-02
3.950000000000000000e+02,8.200000000000000344e-02,2.916666666666666713e-02
4.000000000000000000e+02,7.599999999999999811e-02,2.516666666666666358e-02
4.050000000000000000e+02,7.199999999999999456e-02,2.283333333333333048e-02
4.100000000000000000e+02,6.800000000000000488e-02,1.983333333333334170e-02
4.150000000000000000e+02,6.500000000000000222e-02,1.783333333333333992e-02
4.200000000000000000e+02,6.199999999999999956e-02,1.600000000000000727e-02
4.250000000000000000e+02,5.999999999999999778e-02,1.450000000000000594e-02
4.300000000000000000e+02,5.700000000000000205e-02,1.250000000000001110e-02
4.350000000000000000e+02,5.500000000000000028e-02,1.133333333333334109e-02
4.400000000000000000e+02,5.299999999999999850e-02,9.833333333333332815e-03
4.450000000000000000e+02,5.199999999999999761e-02,9.666666666666663688e-03
4.500000000000000000e+02,5.000000000000000278e-02,8.000000000000000167e-03
4.550000000000000000e+02,4.900000000000000189e-02,7.499999999999999722e-03
4.600000000000000000e+02,4.800000000000000100e-02,6.999999999999999278e-03
4.650000000000000000e+02,4.599999999999999922e-02,5.666666666666660135e-03
4.700000000000000000e+02,4.599999999999999922e-02,5.999999999999998390e-03
4.750000000000000000e+02,4.499999999999999833e-02,5.333333333333328818e-03
4.800000000000000000e+02,4.399999999999999745e-02,4.666666666666659247e-03
4.850000000000000000e+02,4.299999999999999656e-02,3.833333333333327486e-03
4.900000000000000000e+02,4.299999999999999656e-02,4.166666666666658803e-03
4.950000000000000000e+02,4.299999999999999656e-02,4.333333333333327930e-03
5.000000000000000000e+02,4.200000000000000261e-02,3.333333333333333981e-03
5.050000000000000000e+02,4.200000000000000261e-02,3.666666666666665297e-03
5.100000000000000000e+02,4.200000000000000261e-02,3.666666666666665297e-03
5.150000000000000000e+02,4.200000000000000261e-02,3.500000000000003109e-03
5.200000000000000000e+02,4.100000000000000172e-02,2.500000000000002220e-03
5.250000000000000000e+02,4.100000000000000172e-02,2.666666666666664409e-03
5.300000000000000000e+02,4.100000000000000172e-02,2.500000000000002220e-03
5.350000000000000000e+02,4.100000000000000172e-02,2.333333333333333093e-03
5.400000000000000000e+02,4.100000000000000172e-02,2.166666666666663965e-03
5.450000000000000000e+02,4.100000000000000172e-02,2.166666666666663965e-03
5.500000000000000000e+02,4.100000000000000172e-02,2.166666666666663965e-03
5.550000000000000000e+02,4.100000000000000172e-02,2.000000000000001776e-03
5.600000000000000000e+02,4.100000000000000172e-02,2.166666666666663965e-03
5.650000000000000000e+02,4.100000000000000172e-02,1.833333333333332649e-03
5.700000000000000000e+02,4.100000000000000172e-02,1.833333333333332649e-03
5.750000000000000000e+02,4.000000000000000083e-02,8.333333333333317605e-04
5.800000000000000000e+02,4.000000000000000083e-02,8.333333333333317605e-04
5.850000000000000000e+02,4.000000000000000083e-02,8.333333333333317605e-04
5.900000000000000000e+02,4.000000000000000083e-02,3.333333333333313164e-04
5.950000000000000000e+02,4.000000000000000083e-02,5.000000000000004441e-04
6.000000000000000000e+02,4.100000000000000172e-02,1.166666666666663077e-03
6.050000000000000000e+02,4.000000000000000083e-02,1.666666666666621888e-04
6.100000000000000000e+02,4.000000000000000083e-02,1.666666666666621888e-04
6.150000000000000000e+02,4.000000000000000083e-02,5.000000000000004441e-04
6.200000000000000000e+02,4.000000000000000083e-02,6.666666666666626329e-04
6.250000000000000000e+02,4.000000000000000083e-02,6.666666666666626329e-04
6.300000000000000000e+02,4.000000000000000083e-02,8.333333333333317605e-04
6.350000000000000000e+02,3.899999999999999994e-02,-1.666666666666691277e-04
6.400000000000000000e+02,3.899999999999999994e-02,1.666666666666621888e-04
