,peptide,water,HAuCl4,hepes,Slot,LabwareType,WellCode,WellIndex,UID,peptide_name
35,0.0002,1,0.0002,0,4,corning-48-3548,F6,35,2021-07-08MZ2_S4_F6,MZ2
36,0,1,4.00E-05,0.0001,4,corning-48-3548,A7,36,2021-07-08MZ2_S4_A7,MZ2
37,0,1,4.00E-05,0.001,4,corning-48-3548,B7,37,2021-07-08MZ2_S4_B7,MZ2
38,0,1,4.00E-05,0,4,corning-48-3548,C7,38,2021-07-08MZ2_S4_C7,MZ2
39,0,1,6.84E-05,0.0001,4,corning-48-3548,D7,39,2021-07-08MZ2_S4_D7,MZ2
40,0,1,6.84E-05,0.001,4,corning-48-3548,E7,40,2021-07-08MZ2_S4_E7,MZ2
41,0,1,6.84E-05,0,4,corning-48-3548,F7,41,2021-07-08MZ2_S4_F7,MZ2
42,0,1,0.000116961,0.0001,4,corning-48-3548,A8,42,2021-07-08MZ2_S4_A8,MZ2
43,0,1,0.000116961,0.001,4,corning-48-3548,B8,43,2021-07-08MZ2_S4_B8,MZ2
44,0,1,0.000116961,0,4,corning-48-3548,C8,44,2021-07-08MZ2_S4_C8,MZ2
45,0,1,0.0002,0.0001,4,corning-48-3548,D8,45,2021-07-08MZ2_S4_D8,MZ2
46,0,1,0.0002,0.001,4,corning-48-3548,E8,46,2021-07-08MZ2_S4_E8,MZ2
47,0,1,0.0002,0,4,corning-48-3548,F8,47,2021-07-08MZ2_S4_F8,MZ2
48,4.00E-05,1,4.00E-05,1.00E-05,5,corning-48-3548,A1,48,2021-07-08MZ2_S5_A1,MZ2
49,4.00E-05,1,6.84E-05,1.00E-05,5,corning-48-3548,B1,49,2021-07-08MZ2_S5_B1,MZ2
50,4.00E-05,1,0.000116961,1.00E-05,5,corning-48-3548,C1,50,2021-07-08MZ2_S5_C1,MZ2
51,4.00E-05,1,0.0002,1.00E-05,5,corning-48-3548,D1,51,2021-07-08MZ2_S5_D1,MZ2
52,8.94E-05,1,4.00E-05,1.00E-05,5,corning-48-3548,E1,52,2021-07-08MZ2_S5_E1,MZ2
53,8.94E-05,1,6.84E-05,1.00E-05,5,corning-48-3548,F1,53,2021-07-08MZ2_S5_F1,MZ2
54,8.94E-05,1,0.000116961,1.00E-05,5,corning-48-3548,A2,54,2021-07-08MZ2_S5_A2,MZ2
55,8.94E-05,1,0.0002,1.00E-05,5,corning-48-3548,B2,55,2021-07-08MZ2_S5_B2,MZ2
56,0.0002,1,4.00E-05,1.00E-05,5,corning-48-3548,C2,56,2021-07-08MZ2_S5_C2,MZ2
57,0.0002,1,6.84E-05,1.00E-05,5,corning-48-3548,D2,57,2021-07-08MZ2_S5_D2,MZ2
58,0.0002,1,0.000116961,1.00E-05,5,corning-48-3548,E2,58,2021-07-08MZ2_S5_E2,MZ2
59,0.0002,1,0.0002,1.00E-05,5,corning-48-3548,F2,59,2021-07-08MZ2_S5_F2,MZ2
60,0,1,4.00E-05,1.00E-05,5,corning-48-3548,A3,60,2021-07-08MZ2_S5_A3,MZ2
61,0,1,6.84E-05,1.00E-05,5,corning-48-3548,B3,61,2021-07-08MZ2_S5_B3,MZ2
62,0,1,0.000116961,1.00E-05,5,corning-48-3548,C3,62,2021-07-08MZ2_S5_C3,MZ2
63,0,1,0.0002,1.00E-05,5,corning-48-3548,D3,63,2021-07-08MZ2_S5_D3,MZ2
64,4.00E-05,1,4.00E-05,0.0001,4,corning-48-3548,A1,0,2021-11-06MZ2R_S4_A1,MZ2R
65,4.00E-05,1,4.00E-05,0.001,4,corning-48-3548,B1,1,2021-11-06MZ2R_S4_B1,MZ2R
66,4.00E-05,1,4.00E-05,0,4,corning-48-3548,C1,2,2021-11-06MZ2R_S4_C1,MZ2R
67,4.00E-05,1,6.84E-05,0.0001,4,corning-48-3548,D1,3,2021-11-06MZ2R_S4_D1,MZ2R
68,4.00E-05,1,6.84E-05,0.001,4,corning-48-3548,E1,4,2021-11-06MZ2R_S4_E1,MZ2R
69,4.00E-05,1,6.84E-05,0,4,corning-48-3548,F1,5,2021-11-06MZ2R_S4_F1,MZ2R
70,4.00E-05,1,0.000116961,0.0001,4,corning-48-3548,A2,6,2021-11-06MZ2R_S4_A2,MZ2R
71,4.00E-05,1,0.000116961,0.001,4,corning-48-3548,B2,7,2021-11-06MZ2R_S4_B2,MZ2R
72,4.00E-05,1,0.000116961,0,4,corning-48-3548,C2,8,2021-11-06MZ2R_S4_C2,MZ2R
73,4.00E-05,1,0.0002,0.0001,4,corning-48-3548,D2,9,2021-11-06MZ2R_S4_D2,MZ2R
74,4.00E-05,1,0.0002,0.001,4,corning-48-3548,E2,10,2021-11-06MZ2R_S4_E2,MZ2R
75,4.00E-05,1,0.0002,0,4,corning-48-3548,F2,11,2021-11-06MZ2R_S4_F2,MZ2R
76,8.94E-05,1,4.00E-05,0.0001,4,corning-48-3548,A3,12,2021-11-06MZ2R_S4_A3,MZ2R
77,8.94E-05,1,4.00E-05,0.001,4,corning-48-3548,B3,13,2021-11-06MZ2R_S4_B3,MZ2R
78,8.94E-05,1,4.00E-05,0,4,corning-48-3548,C3,14,2021-11-06MZ2R_S4_C3,MZ2R
79,8.94E-05,1,6.84E-05,0.0001,4,corning-48-3548,D3,15,2021-11-06MZ2R_S4_D3,MZ2R
80,8.94E-05,1,6.84E-05,0.001,4,corning-48-3548,E3,16,2021-11-06MZ2R_S4_E3,MZ2R
81,8.94E-05,1,6.84E-05,0,4,corning-48-3548,F3,17,2021-11-06MZ2R_S4_F3,MZ2R
82,8.94E-05,1,0.000116961,0.0001,4,corning-48-3548,A4,18,2021-11-06MZ2R_S4_A4,MZ2R
83,8.94E-05,1,0.000116961,0.001,4,corning-48-3548,B4,19,2021-11-06MZ2R_S4_B4,MZ2R
84,8.94E-05,1,0.000116961,0,4,corning-48-3548,C4,20,2021-11-06MZ2R_S4_C4,MZ2R
85,8.94E-05,1,0.0002,0.0001,4,corning-48-3548,D4,21,2021-11-06MZ2R_S4_D4,MZ2R
86,8.94E-05,1,0.0002,0.001,4,corning-48-3548,E4,22,2021-11-06MZ2R_S4_E4,MZ2R
87,8.94E-05,1,0.0002,0,4,corning-48-3548,F4,23,2021-11-06MZ2R_S4_F4,MZ2R
88,0.0002,1,4.00E-05,0.0001,4,corning-48-3548,A5,24,2021-11-06MZ2R_S4_A5,MZ2R
89,0.0002,1,4.00E-05,0.001,4,corning-48-3548,B5,25,2021-11-06MZ2R_S4_B5,MZ2R
90,0.0002,1,4.00E-05,0,4,corning-48-3548,C5,26,2021-11-06MZ2R_S4_C5,MZ2R
91,0.0002,1,6.84E-05,0.0001,4,corning-48-3548,D5,27,2021-11-06MZ2R_S4_D5,MZ2R
92,0.0002,1,6.84E-05,0.001,4,corning-48-3548,E5,28,2021-11-06MZ2R_S4_E5,MZ2R
93,0.0002,1,6.84E-05,0,4,corning-48-3548,F5,29,2021-11-06MZ2R_S4_F5,MZ2R
94,0.0002,1,0.000116961,0.0001,4,corning-48-3548,A6,30,2021-11-06MZ2R_S4_A6,MZ2R
95,0.0002,1,0.000116961,0.001,4,corning-48-3548,B6,31,2021-11-06MZ2R_S4_B6,MZ2R
96,0.0002,1,0.000116961,0,4,corning-48-3548,C6,32,2021-11-06MZ2R_S4_C6,MZ2R
97,0.0002,1,0.0002,0.0001,4,corning-48-3548,D6,33,2021-11-06MZ2R_S4_D6,MZ2R
98,0.0002,1,0.0002,0.001,4,corning-48-3548,E6,34,2021-11-06MZ2R_S4_E6,MZ2R
99,0.0002,1,0.0002,0,4,corning-48-3548,F6,35,2021-11-06MZ2R_S4_F6,MZ2R
100,0,1,4.00E-05,0.0001,4,corning-48-3548,A7,36,2021-11-06MZ2R_S4_A7,MZ2R
101,0,1,4.00E-05,0.001,4,corning-48-3548,B7,37,2021-11-06MZ2R_S4_B7,MZ2R
102,0,1,4.00E-05,0,4,corning-48-3548,C7,38,2021-11-06MZ2R_S4_C7,MZ2R
103,0,1,6.84E-05,0.0001,4,corning-48-3548,D7,39,2021-11-06MZ2R_S4_D7,MZ2R
104,0,1,6.84E-05,0.001,4,corning-48-3548,E7,40,2021-11-06MZ2R_S4_E7,MZ2R
105,0,1,6.84E-05,0,4,corning-48-3548,F7,41,2021-11-06MZ2R_S4_F7,MZ2R
106,0,1,0.000116961,0.0001,4,corning-48-3548,A8,42,2021-11-06MZ2R_S4_A8,MZ2R
107,0,1,0.000116961,0.001,4,corning-48-3548,B8,43,2021-11-06MZ2R_S4_B8,MZ2R
108,0,1,0.000116961,0,4,corning-48-3548,C8,44,2021-11-06MZ2R_S4_C8,MZ2R
109,0,1,0.0002,0.0001,4,corning-48-3548,D8,45,2021-11-06MZ2R_S4_D8,MZ2R
110,0,1,0.0002,0.001,4,corning-48-3548,E8,46,2021-11-06MZ2R_S4_E8,MZ2R
111,0,1,0.0002,0,4,corning-48-3548,F8,47,2021-11-06MZ2R_S4_F8,MZ2R
112,4.00E-05,1,4.00E-05,1.00E-05,5,corning-48-3548,A1,48,2021-11-06MZ2R_S5_A1,MZ2R
113,4.00E-05,1,6.84E-05,1.00E-05,5,corning-48-3548,B1,49,2021-11-06MZ2R_S5_B1,MZ2R
114,4.00E-05,1,0.000116961,1.00E-05,5,corning-48-3548,C1,50,2021-11-06MZ2R_S5_C1,MZ2R
115,4.00E-05,1,0.0002,1.00E-05,5,corning-48-3548,D1,51,2021-11-06MZ2R_S5_D1,MZ2R
116,8.94E-05,1,4.00E-05,1.00E-05,5,corning-48-3548,E1,52,2021-11-06MZ2R_S5_E1,MZ2R
117,8.94E-05,1,6.84E-05,1.00E-05,5,corning-48-3548,F1,53,2021-11-06MZ2R_S5_F1,MZ2R
118,8.94E-05,1,0.000116961,1.00E-05,5,corning-48-3548,A2,54,2021-11-06MZ2R_S5_A2,MZ2R
119,8.94E-05,1,0.0002,1.00E-05,5,corning-48-3548,B2,55,2021-11-06MZ2R_S5_B2,MZ2R
120,0.0002,1,4.00E-05,1.00E-05,5,corning-48-3548,C2,56,2021-11-06MZ2R_S5_C2,MZ2R
121,0.0002,1,6.84E-05,1.00E-05,5,corning-48-3548,D2,57,2021-11-06MZ2R_S5_D2,MZ2R
122,0.0002,1,0.000116961,1.00E-05,5,corning-48-3548,E2,58,2021-11-06MZ2R_S5_E2,MZ2R
123,0.0002,1,0.0002,1.00E-05,5,corning-48-3548,F2,59,2021-11-06MZ2R_S5_F2,MZ2R
124,0,1,4.00E-05,1.00E-05,5,corning-48-3548,A3,60,2021-11-06MZ2R_S5_A3,MZ2R
125,0,1,6.84E-05,1.00E-05,5,corning-48-3548,B3,61,2021-11-06MZ2R_S5_B3,MZ2R
126,0,1,0.000116961,1.00E-05,5,corning-48-3548,C3,62,2021-11-06MZ2R_S5_C3,MZ2R
127,0,1,0.0002,1.00E-05,5,corning-48-3548,D3,63,2021-11-06MZ2R_S5_D3,MZ2R
